Rk,Player,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches,-9999
440,Sami Al-Najei,MF,sa Saudi Arabia,25,1997,0.5,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,978e29d3
441,Keylor Navas,GK,cr Costa Rica,35,1986,3.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,ecada4fc
442,Iliman Ndiaye,FWMF,sn Senegal,22,2000,1.5,0,2,0,0.0,1.33,0.00,0.00,,18.6,0,0,0,0.1,0.1,0.07,-0.1,-0.1,Matches,5ed97752
443,Victor Nelsson,DF,dk Denmark,23,1998,1.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,e53b5534
444,Manuel Neuer,GK,de Germany,36,1986,3.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,8778c910
445,Rúben Neves,MF,pt Portugal,25,1997,3.0,0,2,0,0.0,0.67,0.00,0.00,,27.0,0,0,0,0.1,0.1,0.04,-0.1,-0.1,Matches,44bfb6c5
446,Neymar,MF,br Brazil,30,1992,3.1,2,11,6,54.5,3.55,1.94,0.09,0.17,19.2,3,1,1,2.7,1.9,0.18,-0.7,-0.9,Matches,69384e5d
447,Moumi Ngamaleu,FWMF,cm Cameroon,27,1994,1.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,0193a8bf
448,Jerome Ngom Mbekeli,MF,cm Cameroon,23,1998,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,32bb1138
449,Rasmus Nissen,DF,dk Denmark,24,1997,2.5,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,39769cff
450,Nicolas Nkoulou,DF,cm Cameroon,32,1990,2.0,0,3,1,33.3,1.50,0.50,0.00,0.00,12.2,0,0,0,0.3,0.3,0.09,-0.3,-0.3,Matches,93cf32a8
451,Andries Noppert,GK,nl Netherlands,28,1994,5.3,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,2dc9d6fb
452,Ahmad Nourollahi,MF,ir IR Iran,29,1993,2.5,0,5,1,20.0,2.02,0.40,0.00,0.00,29.2,0,0,0,0.1,0.1,0.02,-0.1,-0.1,Matches,2c5273b8
453,Olivier Ntcham,MF,cm Cameroon,26,1996,0.3,0,1,1,100.0,3.60,3.60,0.00,0.00,30.0,0,0,0,0.0,0.0,0.04,0.0,0.0,Matches,6554bb97
454,Matheus Nunes,MF,pt Portugal,23,1998,0.8,0,1,0,0.0,1.23,0.00,0.00,,30.8,0,0,0,0.0,0.0,0.02,0.0,0.0,Matches,e6af02e0
455,Darwin Núñez,FW,uy Uruguay,22,1999,2.7,0,3,1,33.3,1.13,0.37,0.00,0.00,22.4,0,0,0,0.4,0.4,0.13,-0.4,-0.4,Matches,4d77b365
456,Christian Nørgaard,MF,dk Denmark,28,1994,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,df0a4c90
457,Guillermo Ochoa,GK,mx Mexico,36,1985,3.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,1e9bde92
458,Denis Odoi,DF,gh Ghana,34,1988,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,f7750aa0
459,Noah Okafor,FWMF,ch Switzerland,22,2000,0.5,0,1,0,0.0,2.00,0.00,0.00,,17.5,0,0,0,0.0,0.0,0.03,0.0,0.0,Matches,ca607d59
460,Mathías Olivera,DF,uy Uruguay,24,1997,2.8,0,2,0,0.0,0.71,0.00,0.00,,16.9,0,0,0,0.1,0.1,0.05,-0.1,-0.1,Matches,41c12f75
461,Dani Olmo,FW,es Spain,24,1998,4.1,1,12,6,50.0,2.94,1.47,0.08,0.17,21.4,0,0,0,1.4,1.4,0.12,-0.4,-0.4,Matches,ae44e8e2
462,Amadou Onana,MF,be Belgium,20,2001,1.2,0,2,0,0.0,1.73,0.00,0.00,,8.3,0,0,0,0.5,0.5,0.23,-0.5,-0.5,Matches,828657ff
463,André Onana,GK,cm Cameroon,26,1996,0.9,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,e9c0c1b2
464,Gaël Ondoua,MF,cm Cameroon,26,1995,0.5,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,7c41b738
465,Loïs Openda,FW,be Belgium,22,2000,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,8652a85c
466,Mislav Oršić,FW,hr Croatia,29,1992,1.8,1,9,2,22.2,5.00,1.11,0.11,0.50,22.5,0,0,0,0.4,0.4,0.04,+0.6,+0.6,Matches,ee950928
467,Jonathan Osorio,MFFW,ca Canada,30,1992,1.3,0,1,0,0.0,0.76,0.00,0.00,,23.7,0,0,0,0.1,0.1,0.06,-0.1,-0.1,Matches,70106ff6
468,Nicolás Otamendi,DF,ar Argentina,34,1988,7.7,0,1,0,0.0,0.13,0.00,0.00,,12.3,0,0,0,0.0,0.0,0.03,0.0,0.0,Matches,0d267745
469,Otávio,MF,pt Portugal,27,1995,2.2,0,3,2,66.7,1.38,0.92,0.00,0.00,23.2,0,0,0,0.1,0.1,0.04,-0.1,-0.1,Matches,28b1f3ce
470,Samuel Oum Gouet,MF,cm Cameroon,24,1997,1.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,b82359be
471,Azzedine Ounahi,MF,ma Morocco,22,2000,6.3,0,6,1,16.7,0.95,0.16,0.00,0.00,23.7,0,0,0,0.3,0.3,0.05,-0.3,-0.3,Matches,83299cc0
472,Bryan Oviedo,DF,cr Costa Rica,32,1990,2.9,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,31faf295
473,Mohammed Al-Owais,GK,sa Saudi Arabia,30,1991,3.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,f2c060c6
474,Juan Pablo Vargas,DF,cr Costa Rica,27,1995,1.0,1,2,2,100.0,2.00,2.00,0.50,0.50,3.9,0,0,0,0.5,0.5,0.27,+0.5,+0.5,Matches,e22564a0
475,Exequiel Palacios,MFDF,ar Argentina,23,1998,0.6,0,1,0,0.0,1.80,0.00,0.00,,16.3,0,0,0,0.1,0.1,0.07,-0.1,-0.1,Matches,e82adcab
476,João Palhinha,MF,pt Portugal,26,1995,0.4,0,1,0,0.0,2.37,0.00,0.00,,33.2,0,0,0,0.0,0.0,0.03,0.0,0.0,Matches,a78ff07f
477,Lucas Paquetá,MF,br Brazil,24,1997,3.5,1,4,4,100.0,1.15,1.15,0.25,0.25,11.7,0,0,0,0.8,0.8,0.21,+0.2,+0.2,Matches,9b6f7fd5
478,Leandro Paredes,MF,ar Argentina,27,1994,2.5,0,1,1,100.0,0.40,0.40,0.00,0.00,30.6,0,0,0,0.0,0.0,0.03,0.0,0.0,Matches,dff153a4
479,Thomas Partey,MF,gh Ghana,29,1993,3.0,0,2,0,0.0,0.67,0.00,0.00,,16.8,0,0,0,0.2,0.2,0.10,-0.2,-0.2,Matches,529f49ab
480,Mario Pašalić,FWMF,hr Croatia,27,1995,3.0,0,3,0,0.0,1.00,0.00,0.00,,7.8,0,0,0,0.3,0.3,0.09,-0.3,-0.3,Matches,e599253a
481,Benjamin Pavard,DF,fr France,26,1996,1.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,45a03961
482,Strahinja Pavlović,DF,rs Serbia,21,2001,2.6,1,2,1,50.0,0.77,0.38,0.50,1.00,10.0,0,0,0,0.2,0.2,0.08,+0.8,+0.8,Matches,25146df0
483,Pedri,MF,es Spain,19,2002,4.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,0d9b2d31
484,Pedro,FW,br Brazil,24,1997,0.7,0,4,1,25.0,5.63,1.41,0.00,0.00,12.9,0,0,0,0.5,0.5,0.13,-0.5,-0.5,Matches,1ab6fad3
485,Facundo Pellistri,MFFW,uy Uruguay,20,2001,2.0,0,1,0,0.0,0.50,0.00,0.00,,11.5,0,0,0,0.2,0.2,0.17,-0.2,-0.2,Matches,ac7e7b1c
486,Pepe,DF,pt Portugal,39,1983,4.0,1,3,1,33.3,0.75,0.25,0.33,1.00,7.3,0,0,0,0.4,0.4,0.15,+0.6,+0.6,Matches,c906ce0f
487,Danilo Pereira,DF,pt Portugal,30,1991,1.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,8fd9996f
488,Ivan Perišić,FWDF,hr Croatia,33,1989,7.4,1,16,4,25.0,2.15,0.54,0.06,0.25,20.0,1,0,0,0.9,0.9,0.06,+0.1,+0.1,Matches,6fe90922
489,Bruno Petković,FW,hr Croatia,27,1994,2.6,1,1,1,100.0,0.38,0.38,1.00,1.00,16.2,0,0,0,0.1,0.1,0.12,+0.9,+0.9,Matches,24228180
490,Germán Pezzella,DF,ar Argentina,30,1991,0.7,0,1,0,0.0,1.50,0.00,0.00,,10.0,0,0,0,0.1,0.1,0.07,-0.1,-0.1,Matches,8c725b43
491,Kalvin Phillips,MF,eng England,26,1995,0.5,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,4f565d77
492,Krzysztof Piątek,FW,pl Poland,26,1995,0.3,0,1,0,0.0,3.21,0.00,0.00,,15.6,0,0,0,0.0,0.0,0.03,0.0,0.0,Matches,17f3620a
493,Jordan Pickford,GK,eng England,28,1994,5.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,4806ec67
494,Orbelín Pineda,MF,mx Mexico,26,1996,0.8,0,4,1,25.0,4.74,1.18,0.00,0.00,15.1,0,0,0,0.3,0.3,0.08,-0.3,-0.3,Matches,411fabd7
495,Gonzalo Plata,MFFW,ec Ecuador,21,2000,3.0,0,2,1,50.0,0.67,0.33,0.00,0.00,15.2,0,0,0,0.1,0.1,0.07,-0.1,-0.1,Matches,54bcdeb0
496,Jackson Porozo,DF,ec Ecuador,21,2000,1.1,0,1,0,0.0,0.94,0.00,0.00,,15.0,0,0,0,0.1,0.1,0.05,-0.1,-0.1,Matches,7d704e92
497,Morteza Pouraliganji,DF,ir IR Iran,30,1992,3.0,0,2,0,0.0,0.67,0.00,0.00,,16.8,0,0,0,0.1,0.1,0.04,-0.1,-0.1,Matches,2c2066f4
498,Ángelo Preciado,DF,ec Ecuador,24,1998,2.9,0,4,0,0.0,1.36,0.00,0.00,,26.1,0,0,0,0.1,0.1,0.02,-0.1,-0.1,Matches,eadc8e4f
499,Christian Pulisic,FWMF,us United States,23,1998,3.5,1,9,5,55.6,2.57,1.43,0.11,0.20,17.9,0,0,0,1.1,1.1,0.12,-0.1,-0.1,Matches,1bf33a9a
500,Adrien Rabiot,MF,fr France,27,1995,5.4,1,9,4,44.4,1.68,0.75,0.11,0.25,13.4,0,0,0,1.0,1.0,0.12,0.0,0.0,Matches,8794e251
501,Nemanja Radonjić,DFFW,rs Serbia,26,1996,0.7,0,2,0,0.0,3.00,0.00,0.00,,22.3,0,0,0,0.1,0.1,0.05,-0.1,-0.1,Matches,0630eb63
502,Baba Rahman,DF,gh Ghana,27,1994,2.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,e4086af3
503,Gonçalo Ramos,FWMF,pt Portugal,20,2001,1.7,3,7,5,71.4,4.14,2.96,0.43,0.60,11.3,0,0,0,1.6,1.6,0.22,+1.4,+1.4,Matches,f63cda26
504,Aaron Ramsey,MF,wls Wales,31,1990,3.0,0,1,0,0.0,0.34,0.00,0.00,,18.0,0,0,0,0.0,0.0,0.04,0.0,0.0,Matches,ef619b0b
505,Raphinha,FW,br Brazil,25,1996,3.5,0,8,6,75.0,2.29,1.71,0.00,0.00,19.1,1,0,0,1.2,1.2,0.15,-1.2,-1.2,Matches,3423f250
506,Marcus Rashford,FW,eng England,24,1997,1.6,3,11,6,54.5,7.07,3.86,0.27,0.50,16.6,2,0,0,1.6,1.6,0.15,+1.4,+1.4,Matches,a1d5bd30
507,David Raum,DF,de Germany,24,1998,2.7,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,7d450ed3
508,Bassam Al-Rawi,DF,qa Qatar,24,1997,1.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,d59acc5e
509,Tim Ream,DF,us United States,34,1987,4.0,0,1,0,0.0,0.25,0.00,0.00,,3.7,0,0,0,0.3,0.3,0.30,-0.3,-0.3,Matches,28b40c9c
510,Djorkaeff Reasco,FW,ec Ecuador,23,1999,0.3,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,5d7b7f0e
511,Gio Reyna,FW,us United States,19,2002,0.6,0,2,0,0.0,3.40,0.00,0.00,,20.9,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches,7fa4e703
512,Ramin Rezaeian,DF,ir IR Iran,32,1990,2.0,1,2,1,50.0,1.00,0.50,0.50,1.00,18.3,0,0,0,0.3,0.3,0.13,+0.7,+0.7,Matches,c0ae3446
513,Everton Ribeiro,MF,br Brazil,33,1989,0.4,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,68fb50a2
514,Declan Rice,MF,eng England,23,1999,4.6,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,1c7012b8
515,Richarlison,FW,br Brazil,25,1997,3.6,3,8,4,50.0,2.23,1.11,0.38,0.75,12.1,0,0,0,2.1,2.1,0.26,+0.9,+0.9,Matches,fa031b34
516,Fabian Rieder,FW,ch Switzerland,20,2002,0.8,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,c2bd8585
517,Ró-Ró,DF,qa Qatar,31,1990,2.9,0,2,0,0.0,0.69,0.00,0.00,,23.0,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches,8735fe66
518,Connor Roberts,DF,wls Wales,26,1995,2.2,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,24fae784
519,Antonee Robinson,DF,us United States,24,1997,4.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,289601e6
520,Sergio Rochet,GK,uy Uruguay,29,1993,3.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,81b99b9e
521,Joe Rodon,DF,wls Wales,24,1997,3.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,8d62d31a
522,Rodri,DF,es Spain,25,1996,4.3,0,1,0,0.0,0.23,0.00,0.00,,36.2,0,0,0,0.0,0.0,0.02,0.0,0.0,Matches,6434f10d
523,Charly Rodríguez,MF,mx Mexico,25,1997,0.4,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,f0acf582
524,Guido Rodríguez,MF,ar Argentina,28,1994,0.6,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,34e393f2
525,Kevin Rodríguez,FW,ec Ecuador,22,2000,0.0,0,2,1,50.0,90.00,45.00,0.00,0.00,,,0,0,,,,,,Matches,189fb038
526,Ricardo Rodríguez,DF,ch Switzerland,29,1992,4.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,7f78ad23
527,Rodrygo,MFFW,br Brazil,21,2001,2.0,0,6,2,33.3,2.98,0.99,0.00,0.00,18.7,1,0,0,0.4,0.4,0.07,-0.4,-0.4,Matches,8f5e92a6
528,Mohamed Ali Ben Romdhane,MF,tn Tunisia,22,1999,0.8,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,b4db6d4d
529,Cristian Romero,DF,ar Argentina,24,1998,6.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,a3d94a58
530,Cristiano Ronaldo,FW,pt Portugal,37,1985,3.2,1,10,2,20.0,3.10,0.62,0.00,0.00,21.0,2,1,1,1.6,0.8,0.08,-0.6,-0.8,Matches,dea698d9
531,Marten de Roon,MF,nl Netherlands,31,1991,2.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,2a1beb34
532,Kye Rowles,DF,au Australia,23,1998,4.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,8caf6772
533,Antonio Rüdiger,DF,de Germany,29,1993,3.0,0,6,1,16.7,2.00,0.33,0.00,0.00,17.4,0,0,0,0.8,0.8,0.13,-0.8,-0.8,Matches,18b896d6
534,Bryan Ruiz,MF,cr Costa Rica,36,1985,0.3,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,fa6292e2
535,Mathew Ryan,GK,au Australia,30,1992,4.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,4535e4bb
536,Youssouf Sabaly,DF,sn Senegal,29,1993,4.0,0,2,1,50.0,0.50,0.25,0.00,0.00,30.9,0,0,0,0.0,0.0,0.02,0.0,0.0,Matches,fbbb9269
537,Abdelhamid Sabiri,MF,ma Morocco,25,1996,2.0,0,3,0,0.0,1.49,0.00,0.00,,34.2,1,0,0,0.1,0.1,0.04,-0.1,-0.1,Matches,4830e0af
538,Romain Saïss,DF,ma Morocco,32,1990,5.2,1,1,1,100.0,0.19,0.19,1.00,1.00,0.9,0,0,0,0.8,0.8,0.79,+0.2,+0.2,Matches,9fbbcf39
539,Bukayo Saka,FW,eng England,20,2001,3.2,3,7,5,71.4,2.19,1.56,0.43,0.60,14.9,0,0,0,0.6,0.6,0.09,+2.4,+2.4,Matches,bc7dc64d
540,Hiroki Sakai,MFDF,jp Japan,32,1990,1.3,0,1,0,0.0,0.76,0.00,0.00,,5.4,0,0,0,0.5,0.5,0.53,-0.5,-0.5,Matches,d63e2912
541,Youstin Salas,DFMF,cr Costa Rica,25,1996,0.5,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,055dd4d3
542,William Saliba,DF,fr France,21,2001,0.3,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,972aeb2a
543,Mohammed Salisu,DF,gh Ghana,23,1999,3.0,1,2,1,50.0,0.67,0.33,0.50,1.00,9.3,0,0,0,0.8,0.8,0.38,+0.2,+0.2,Matches,0b33f6ad
544,Tarek Salman,DF,qa Qatar,24,1997,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,420f4985
545,Alex Sandro,DF,br Brazil,31,1991,2.1,0,1,0,0.0,0.47,0.00,0.00,,33.5,0,0,0,0.0,0.0,0.03,0.0,0.0,Matches,0d82903c
546,Leroy Sané,FWDF,de Germany,26,1996,1.2,0,3,0,0.0,2.43,0.00,0.00,,25.4,0,0,0,0.1,0.1,0.04,-0.1,-0.1,Matches,2b114be3
547,Na Sang-ho,FW,kr Korea Republic,25,1996,1.3,0,1,1,100.0,0.76,0.76,0.00,0.00,10.6,0,0,0,0.0,0.0,0.03,0.0,0.0,Matches,6af38cdd
548,Pablo Sarabia,FW,es Spain,30,1992,0.0,0,1,0,0.0,30.00,0.00,0.00,,4.7,0,0,0,0.1,0.1,0.11,-0.1,-0.1,Matches,9744ff80
549,Josh Sargent,FW,us United States,22,2000,1.7,0,4,1,25.0,2.29,0.57,0.00,0.00,14.0,0,0,0,0.4,0.4,0.09,-0.4,-0.4,Matches,a8d4428b
550,Jeremy Sarmiento,MFFW,ec Ecuador,19,2002,0.9,0,1,1,100.0,1.06,1.06,0.00,0.00,14.5,0,0,0,0.1,0.1,0.07,-0.1,-0.1,Matches,ac0d576d
551,Ismaila Sarr,FWMF,sn Senegal,24,1998,3.8,1,10,1,10.0,2.62,0.26,0.00,0.00,16.5,0,1,1,1.7,0.9,0.09,-0.7,-0.9,Matches,bfdb33aa
552,Ferjani Sassi,MFDF,tn Tunisia,30,1992,0.5,0,1,0,0.0,1.87,0.00,0.00,,33.3,0,0,0,0.0,0.0,0.02,0.0,0.0,Matches,35bf6065
553,Fabian Schär,DF,ch Switzerland,30,1991,1.5,0,2,0,0.0,1.33,0.00,0.00,,16.7,0,0,0,0.1,0.1,0.07,-0.1,-0.1,Matches,c8aa95da
554,Nico Schlotterbeck,DF,de Germany,22,1999,1.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,34e12499
555,Kasper Schmeichel,GK,dk Denmark,35,1986,3.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,53af52f3
556,Haris Seferović,FW,ch Switzerland,30,1992,0.8,0,1,0,0.0,1.27,0.00,0.00,,12.8,0,0,0,0.2,0.2,0.19,-0.2,-0.2,Matches,a45eac1f
557,Alidu Seidu,DF,gh Ghana,22,2000,1.7,0,1,0,0.0,0.58,0.00,0.00,,31.9,0,0,0,0.0,0.0,0.01,0.0,0.0,Matches,cea59f02
558,Antoine Semenyo,FWMF,gh Ghana,22,2000,0.2,0,1,0,0.0,4.50,0.00,0.00,,13.5,0,0,0,0.0,0.0,0.05,0.0,0.0,Matches,efd2ec23
559,Kim Seung-gyu,GK,kr Korea Republic,31,1990,4.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,eabaafa6
560,Paik Seung-ho,MF,kr Korea Republic,25,1997,0.3,1,1,1,100.0,3.46,3.46,1.00,1.00,30.4,0,0,0,0.0,0.0,0.04,+1.0,+1.0,Matches,1e1bea09
561,Yasser Al-Shahrani,DF,sa Saudi Arabia,30,1992,1.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,251c164e
562,Xherdan Shaqiri,FWMF,ch Switzerland,30,1991,2.5,1,4,2,50.0,1.57,0.79,0.25,0.50,21.9,1,0,0,0.3,0.3,0.08,+0.7,+0.7,Matches,6421ec64
563,Riyadh Sharahili,MF,sa Saudi Arabia,29,1993,0.6,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,3e8326a9
564,Luke Shaw,DF,eng England,26,1995,4.7,0,3,1,33.3,0.64,0.21,0.00,0.00,23.1,1,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches,9c94165b
565,Saad Al Sheeb,GK,qa Qatar,32,1990,1.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,e00ad66a
566,Saleh Al-Shehri,FW,sa Saudi Arabia,28,1993,2.5,1,2,2,100.0,0.81,0.81,0.50,0.50,21.0,0,0,0,0.1,0.1,0.04,+0.9,+0.9,Matches,f4377d0f
567,André Silva,FW,pt Portugal,26,1995,0.3,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,3effaa34
568,António Silva,DF,pt Portugal,18,2003,1.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,8f0435c7
569,Bernardo Silva,MF,pt Portugal,27,1994,4.0,0,1,0,0.0,0.25,0.00,0.00,,10.7,0,0,0,0.2,0.2,0.18,-0.2,-0.2,Matches,3eb22ec9
570,Thiago Silva,DF,br Brazil,37,1984,4.3,0,2,0,0.0,0.46,0.00,0.00,,8.0,0,0,0,0.2,0.2,0.08,-0.2,-0.2,Matches,86e7deaf
571,Unai Simón,GK,es Spain,25,1997,4.3,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,5dcf3e90
572,Xavi Simons,FWMF,nl Netherlands,19,2003,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,da4d670f
573,Ellyes Skhiri,MF,tn Tunisia,27,1995,3.0,0,2,0,0.0,0.67,0.00,0.00,,22.5,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches,c2211709
574,Michał Skóraś,MF,pl Poland,22,2000,0.5,0,1,0,0.0,2.00,0.00,0.00,,22.2,0,0,0,0.0,0.0,0.02,0.0,0.0,Matches,5a80aea3
575,Andreas Skov Olsen,FWMF,dk Denmark,22,1999,1.5,0,4,1,25.0,2.73,0.68,0.00,0.00,14.6,0,0,0,0.2,0.2,0.06,-0.2,-0.2,Matches,c50cee19
576,Robert Skov,DF,dk Denmark,26,1996,0.2,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,ff98492b
577,Naïm Sliti,MFFW,tn Tunisia,29,1992,1.3,0,1,0,0.0,0.79,0.00,0.00,,10.3,0,0,0,0.1,0.1,0.14,-0.1,-0.1,Matches,2e0367a6
578,Carlos Soler,MF,es Spain,25,1997,1.0,1,4,1,25.0,3.91,0.98,0.25,1.00,17.3,1,0,0,0.5,0.5,0.13,+0.5,+0.5,Matches,fed17f5a
579,Yuki Soma,FWMF,jp Japan,25,1997,0.9,0,3,0,0.0,3.33,0.00,0.00,,22.7,1,0,0,0.2,0.2,0.06,-0.2,-0.2,Matches,e997f52f
580,Yann Sommer,GK,ch Switzerland,33,1988,3.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,420c18a1
581,Borna Sosa,DF,hr Croatia,24,1998,4.7,0,2,0,0.0,0.42,0.00,0.00,,28.4,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches,af0d79a9
582,Harry Souttar,DF,au Australia,23,1998,4.0,0,1,0,0.0,0.25,0.00,0.00,,8.5,0,0,0,0.1,0.1,0.08,-0.1,-0.1,Matches,0a6cb1b1
583,Djibril Sow,MF,ch Switzerland,25,1997,2.9,0,2,0,0.0,0.68,0.00,0.00,,15.6,0,0,0,0.2,0.2,0.08,-0.2,-0.2,Matches,4c6facae
584,Josip Stanišić,DF,hr Croatia,22,2000,1.0,0,1,0,0.0,1.00,0.00,0.00,,28.6,0,0,0,0.0,0.0,0.02,0.0,0.0,Matches,7ed08d5c
585,Renato Steffen,FW,ch Switzerland,30,1991,0.4,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,dd669209
586,Raheem Sterling,FW,eng England,27,1994,1.7,1,1,1,100.0,0.60,0.60,1.00,1.00,9.3,0,0,0,0.4,0.4,0.37,+0.6,+0.6,Matches,b400bde0
587,John Stones,DF,eng England,28,1994,4.8,0,4,1,25.0,0.83,0.21,0.00,0.00,9.6,0,0,0,0.4,0.4,0.09,-0.4,-0.4,Matches,5eecec3d
588,Luis Suárez,FW,uy Uruguay,35,1987,1.6,0,2,1,50.0,1.23,0.62,0.00,0.00,7.5,0,0,0,0.4,0.4,0.21,-0.4,-0.4,Matches,a6154613
589,Niklas Süle,DF,de Germany,26,1995,3.0,0,1,0,0.0,0.33,0.00,0.00,,5.4,0,0,0,0.1,0.1,0.11,-0.1,-0.1,Matches,e33c06cf
590,Kamaldeen Sulemana,FW,gh Ghana,20,2002,0.6,0,1,1,100.0,1.55,1.55,0.00,0.00,21.8,0,0,0,0.1,0.1,0.06,-0.1,-0.1,Matches,a62f8bf1
591,Josip Šutalo,DF,hr Croatia,22,2000,1.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,33a6a650
