Rk,Player,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches,-9999
321,Koke,MF,es Spain,30,1992,0.6,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,55126f3b
322,Randal Kolo Muani,FW,fr France,23,1998,2.0,1,4,2,50.0,1.98,0.99,0.25,0.50,13.2,0,0,0,1.1,1.1,0.28,-0.1,-0.1,Matches,c0b3669f
323,Ibrahima Konaté,DF,fr France,23,1999,3.3,0,2,1,50.0,0.61,0.31,0.00,0.00,7.7,0,0,0,0.4,0.4,0.18,-0.4,-0.4,Matches,5ed9b537
324,Ismaël Koné,MFDF,ca Canada,20,2002,1.2,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,e0220b70
325,Teun Koopmeiners,MF,nl Netherlands,24,1998,2.4,0,2,1,50.0,0.82,0.41,0.00,0.00,27.6,0,0,0,0.1,0.1,0.04,-0.1,-0.1,Matches,a26fb8aa
326,Filip Kostić,DF,rs Serbia,29,1992,2.0,0,1,0,0.0,0.50,0.00,0.00,,18.3,0,0,0,0.0,0.0,0.02,0.0,0.0,Matches,b1cd37e6
327,Kalidou Koulibaly,DF,sn Senegal,30,1991,4.0,1,2,1,50.0,0.50,0.25,0.50,1.00,7.9,0,0,0,0.5,0.5,0.25,+0.5,+0.5,Matches,da974c7b
328,Jules Koundé,DF,fr France,23,1998,5.3,0,4,1,25.0,0.75,0.19,0.00,0.00,19.9,0,0,0,0.2,0.2,0.05,-0.2,-0.2,Matches,4d1666ff
329,Cheikhou Kouyaté,MF,sn Senegal,32,1989,0.8,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,8d3c902d
330,Mateo Kovačić,MF,hr Croatia,28,1994,7.1,0,3,1,33.3,0.43,0.14,0.00,0.00,17.0,0,0,0,0.3,0.3,0.11,-0.3,-0.3,Matches,79c0821a
331,Andrej Kramarić,FWMF,hr Croatia,30,1991,5.3,2,10,4,40.0,1.90,0.76,0.20,0.50,15.1,0,0,0,1.6,1.6,0.16,+0.4,+0.4,Matches,603cb947
332,Grzegorz Krychowiak,MF,pl Poland,32,1990,3.7,0,1,0,0.0,0.27,0.00,0.00,,29.9,0,0,0,0.0,0.0,0.02,0.0,0.0,Matches,580d52dd
333,Takefusa Kubo,FW,jp Japan,21,2001,1.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,16aa3654
334,Pierre Kunde,MF,cm Cameroon,26,1995,1.5,0,5,2,40.0,3.44,1.37,0.00,0.00,22.1,0,0,0,0.2,0.2,0.05,-0.2,-0.2,Matches,9ceb7642
335,Garang Kuol,FWMF,au Australia,17,2004,0.4,0,1,1,100.0,2.43,2.43,0.00,0.00,9.6,0,0,0,0.4,0.4,0.38,-0.4,-0.4,Matches,a8a80be7
336,Daniel Kyereh,MFDF,gh Ghana,26,1996,0.4,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,2770726a
337,Kwon Kyung-won,DF,kr Korea Republic,30,1992,1.0,0,1,0,0.0,0.99,0.00,0.00,,33.8,0,0,0,0.0,0.0,0.02,0.0,0.0,Matches,ad1516af
338,Aïssa Laïdouni,MF,tn Tunisia,25,1996,2.7,0,2,0,0.0,0.74,0.00,0.00,,9.8,0,0,0,0.1,0.1,0.07,-0.1,-0.1,Matches,22798128
339,Tariq Lamptey,DF,gh Ghana,21,2000,1.1,0,1,0,0.0,0.88,0.00,0.00,,15.8,0,0,0,0.1,0.1,0.06,-0.1,-0.1,Matches,f4e433d4
340,Noa Lang,MF,nl Netherlands,22,1999,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,8e034340
341,Aymeric Laporte,DF,es Spain,28,1994,3.3,0,1,0,0.0,0.30,0.00,0.00,,13.6,0,0,0,0.0,0.0,0.03,0.0,0.0,Matches,119b9a8e
342,Cyle Larin,FW,ca Canada,27,1995,1.5,0,3,1,33.3,1.97,0.66,0.00,0.00,11.3,0,0,0,0.2,0.2,0.08,-0.2,-0.2,Matches,e7af9060
343,Richie Laryea,DFMF,ca Canada,27,1995,1.8,0,2,0,0.0,1.13,0.00,0.00,,17.8,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches,276fdbe4
344,Darko Lazović,DF,rs Serbia,31,1990,0.3,0,1,0,0.0,3.60,0.00,0.00,,27.3,0,0,0,0.0,0.0,0.01,0.0,0.0,Matches,5128bde4
